x = 217   y = 248   kat = 1.14794   r = 0.731174
x = 208   y = 268   kat = 0.99004   r = 0.630599
x = 229   y = 300   kat = 0.037718   r = 0.0240242
x = 282   y = 298   kat = 1.02401   r = 0.652234
x = 296   y = 275   kat = 1.10715   r = 0.70519
x = 270   y = 223   kat = 0.533708   r = 0.339942
x = 160   y = 158   kat = 0.0235251   r = 0.0149841
x = 75   y = 156   kat = 0.601074   r = 0.38285
x = 40   y = 180   kat = 1.32121   r = 0.841535
x = 53   y = 231   kat = 0.194587   r = 0.12394
x = 190   y = 258   kat = 0.224148   r = 0.14277
x = 383   y = 214   kat = 0.964413   r = 0.614276
x = 426   y = 152   kat = 0.715338   r = 0.455629
x = 365   y = 99   kat = 0.354871   r = 0.226032
x = 168   y = 172   kat = 0.774568   r = 0.493356
x = 28   y = 309   kat = 1.27586   r = 0.812649
x = 4   y = 388   kat = 0.414906   r = 0.264271
x = 88   y = 425   kat = 0.261822   r = 0.166766
x = 394   y = 343   kat = 0.596501   r = 0.379937
x = 556   y = 233   kat = 1.32815   r = 0.845955
x = 531   y = 132   kat = 0.428039   r = 0.272636
x = 371   y = 59   kat = 0.406333   r = 0.258811
x = 120   y = 167   kat = 0.976321   r = 0.621861
x = 24   y = 309   kat = 1.21094   r = 0.7713
x = 62   y = 410   kat = 0.144318   r = 0.0919225
x = 351   y = 452   kat = 0.353542   r = 0.225186
x = 603   y = 359   kat = 1.13184   r = 0.720914
x = 680   y = 195   kat = 1.10715   r = 0.70519
x = 629   y = 93   kat = 0.238114   r = 0.151665
x = 423   y = 143   kat = 0.743277   r = 0.473425
x = 287   y = 268   kat = 1.16067   r = 0.73928
x = 247   y = 360   kat = 0.652847   r = 0.415826
x = 315   y = 412   kat = 0.06548   r = 0.041707
x = 620   y = 392   kat = 0.653854   r = 0.416468
x = 804   y = 251   kat = 1.15873   r = 0.738047
x = 870   y = 100   kat = 0.666908   r = 0.424782
x = 823   y = 63   kat = 0.376582   r = 0.239861
x = 603   y = 150   kat = 0.829166   r = 0.528131
x = 472   y = 293   kat = 1.4505   r = 0.923886
x = 461   y = 384   kat = 0.410127   r = 0.261228
x = 553   y = 424   kat = 0.229904   r = 0.146436
x = 741   y = 380   kat = 0.749348   r = 0.477292
x = 899   y = 233   kat = 1.10999   r = 0.707
x = 969   y = 92   kat = 0.147568   r = 0.0939924
x = 895   y = 81   kat = 0.555366   r = 0.353736
x = 700   y = 202   kat = 0.767856   r = 0.48908
x = 555   y = 342   kat = 1.43745   r = 0.915571
x = 544   y = 424   kat = 0.214525   r = 0.13664
x = 723   y = 463   kat = 0.317412   r = 0.202173
x = 1000   y = 372   kat = 0.933726   r = 0.59473
x = 1148   y = 172   kat = 1.48564   r = 0.946266
x = 1162   y = 8   kat = 0.0412988   r = 0.026305
x = 1041   y = 3   kat = 0.502463   r = 0.32004
x = 839   y = 114   kat = 0.9386   r = 0.597834
x = 724   y = 271   kat = 1.29663   r = 0.825878
x = 751   y = 367   kat = 0.072412   r = 0.0461223
x = 944   y = 381   kat = 0.431326   r = 0.27473
x = 1120   y = 300   kat = 1.10464   r = 0.70359
x = 1200   y = 141   kat = 1.2947   r = 0.824649
x = 1166   y = 21   kat = 0.406747   r = 0.259075
x = 1036   y = 77   kat = 0.673476   r = 0.428966
x = 843   y = 231   kat = 0.718406   r = 0.457583
x = 676   y = 377   kat = 0.569912   r = 0.363002
x = 534   y = 468   kat = 0.358771   r = 0.228516
x = 510   y = 477   kat = 0.796387   r = 0.507253
x = 600   y = 385   kat = 0.693764   r = 0.441888
x = 903   y = 133   kat = 0.616297   r = 0.392546
x = 999   y = 65   kat = 0.165149   r = 0.10519
x = 927   y = 77   kat = 0.389548   r = 0.24812
x = 642   y = 194   kat = 0.484921   r = 0.308867
x = 363   y = 341   kat = 0.0996687   r = 0.0634832
x = 353   y = 342   kat = 0.797162   r = 0.507747
x = 479   y = 213   kat = 0.812419   r = 0.517464
x = 605   y = 80   kat = 1.44644   r = 0.9213
x = 604   y = 72   kat = 0.456436   r = 0.290724
x = 437   y = 154   kat = 0.604306   r = 0.384908
x = 185   y = 328   kat = 0.59541   r = 0.379242
x = 61   y = 412   kat = 1.04016   r = 0.66252
x = 132   y = 291   kat = 0.886179   r = 0.564445
x = 332   y = 46   kat = 0.25154   r = 0.160217
x = 511   y = 0   kat = 0.336675   r = 0.214443
x = 451   y = 21   kat = 0.603749   r = 0.384554
x = 132   y = 241   kat = 1.0479   r = 0.66745
x = 0   y = 470   kat = 1.57   r = 1
x = 0   y = 499   kat = 0.823548   r = 0.524553
x = 126   y = 363   kat = 0.729785   r = 0.464832
x = 382   y = 134   kat = 0.715338   r = 0.455629
x = 504   y = 28   kat = 0.588003   r = 0.374524
x = 501   y = 30   kat = 0.645296   r = 0.411017
x = 234   y = 231   kat = 0.629946   r = 0.40124
x = 79   y = 344   kat = 0   r = 0
x = 66   y = 344   kat = 1.09229   r = 0.695725
x = 163   y = 157   kat = 1.09977   r = 0.70049
x = 218   y = 49   kat = 0.260602   r = 0.165989
x = 203   y = 53   kat = 0.617844   r = 0.393532
x = 6   y = 193   kat = 1.50194   r = 0.95665
x = 0   y = 280   kat = 1.2925   r = 0.823246
x = 2   y = 273   kat = 0.677128   r = 0.431291
x = 206   y = 109   kat = 0.559632   r = 0.356453
x = 380   y = 0   kat = 0.574305   r = 0.365799
x = 397   y = 11   kat = 0.901439   r = 0.574165
x = 253   y = 193   kat = 0.971344   r = 0.61869
x = 89   y = 433   kat = 1.03038   r = 0.656291
x = 65   y = 473   kat = 0.561163   r = 0.357429
x = 275   y = 341   kat = 0.632749   r = 0.403025
x = 635   y = 77   kat = 0.463648   r = 0.295317
